trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'e': 0.27445354472714856, 'a': 0.5}",20,12,-9.007326152324826,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'e': 0.2689644738326056, 'a': 0.5}",20,0,20.136719642966845,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
66,False,"{'e': 0.26358518435595346, 'a': 0.5}",30,0,-6.13051945188985,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
67,False,"{'e': 0.25831348066883436, 'a': 0.5}",30,7,41.75358802811883,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'e': 0.2531472110554577, 'a': 0.5}",20,3,-77.06118089643032,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
69,False,"{'e': 0.24808426683434853, 'a': 0.5}",20,8,-6.770060910827905,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
70,False,"{'e': 0.24312258149766156, 'a': 0.5}",20,3,2.538547517718058,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'e': 0.2382601298677083, 'a': 0.5}",20,9,9.795642303317562,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'e': 0.23349492727035415, 'a': 0.5}",25,10,31.028026824516438,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'e': 0.22882502872494706, 'a': 0.5}",20,15,0.03742997344891985,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'e': 0.22424852815044813, 'a': 0.5}",30,10,-28.58234570914311,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
75,False,"{'e': 0.21976355758743915, 'a': 0.5}",20,15,10.164988550603148,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'e': 0.21536828643569036, 'a': 0.5}",20,6,-21.79495087322028,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'e': 0.21106092070697655, 'a': 0.5}",20,2,-48.05105323891584,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
78,False,"{'e': 0.20683970229283702, 'a': 0.5}",25,11,11.84921421865233,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'e': 0.20270290824698028, 'a': 0.5}",25,16,14.480687157407088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'e': 0.19864885008204067, 'a': 0.5}",20,11,15.282454046482314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.19467587308039985, 'a': 0.5}",20,10,8.37640358978673,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'e': 0.19078235561879187, 'a': 0.5}",25,5,-4.582766108244955,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'e': 0.18696670850641603, 'a': 0.5}",20,5,-10.183711186204524,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'e': 0.18322737433628772, 'a': 0.5}",25,11,10.938372338632188,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
